STATE,REGION,PHYSEXP,DIGEXP,TOTEXP,PERPHYSEXP,PERDIGEXP,TOTPHYSCOLL,TOTDIGCOLL,TOTCOLL,PERPHYSCOLL,PERDIGCOLL,PHYSCIR,DIGCIR,TOTCIR,PERPHYSCIR,PERDIGCIR
Alaska,Pacific,2178429,1029989,3208418,67.89729393,32.10270607,2441406,3843357,6284763,38.84642905,61.15357095,2373775,1198889,3572664,66.44271614,33.55728386
Alabama,East South Central,8200528,4148165,12348693,66.4080644,33.5919356,9573446,29084714,38658160,24.76436023,75.23563977,13011023,4723891,17734914,73.36389114,26.63610886
Arkansas,West South Central,6082413,3769339,9851752,61.73940432,38.26059568,6289296,13775793,20065089,31.34447099,68.65552901,8333795,3846460,12180255,68.42052978,31.57947022
American Samoa,Territory,15225,13175,28400,53.60915493,46.39084507,45772,1273,47045,97.29408014,2.705919864,2352,4143,6495,36.21247113,63.78752887
Arizona,Mountain,16999612,15650061,32649673,52.06671442,47.93328558,8471741,28902020,37373761,22.66761699,77.33238301,24025267,14045257,38070524,63.1072664,36.8927336
California,Pacific,92224539,77570539,169795120,54.31518821,45.68478705,60854828,98254093,159108921,38.2472759,61.7527241,128179123,59849429,188028574,68.17002346,31.82996484
Colorado,Mountain,21956744,24936078,46892822,46.82325154,53.17674846,11264295,20411376,31675671,35.56134612,64.43865388,38401471,15856512,54257983,70.77570687,29.22429313
Connecticut,New England,13535118,6516729,20051847,67.50060481,32.49939519,13388922,16868800,30257722,44.24960346,55.75039654,17344982,3805617,21150599,82.00704859,17.99295141
District of Columbia,South Atlantic,4226004,3291558,7517562,56.21508675,43.78491325,1374298,249681,1623979,84.62535538,15.37464462,3883954,2421476,6305430,61.59697277,38.40302723
Delaware,South Atlantic,5249169,4179073,9428242,55.67494979,44.32505021,2806095,3421459,6227554,45.05934433,54.94065567,6915088,2700297,9615385,71.91691232,28.08308768
Florida,South Atlantic,56068003,67397829,123465832,45.41175651,54.58824349,38754830,60636671,99391501,38.99209652,61.00790348,98008397,50411847,148420244,66.03438612,33.96561388
Georgia,South Atlantic,31265334,32069503,63334837,49.36514481,50.63485519,23655647,49688068,73343715,32.25313444,67.74686556,55726094,24547007,80273101,69.42063195,30.57936805
Guam,Territory,1012027,414103,1426130,70.96316605,29.03683395,544434,173756,718190,75.80640221,24.19359779,681516,228000,909516,74.93172193,25.06827807
Hawaii,Pacific,3726424,3089582,6816006,54.67166549,45.32833451,2796064,3011096,5807160,48.14856143,51.85143857,4969671,1874113,6843784,72.6158365,27.3841635
Iowa,West North Central,12159050,8772012,20931062,58.09093681,41.90906319,11710459,30158618,41869077,27.96923133,72.03076867,16639827,7387267,24027094,69.25443002,30.74556998
Idaho,Mountain,4989778,4030932,9020710,55.31469252,44.68530748,3686726,8097476,11784202,31.2853259,68.7146741,7080950,3280756,10361706,68.33768493,31.66231507
Illinois,East North Central,41669993,27993194,69663187,59.81637475,40.18362525,34529406,48055334,82584740,41.81087935,58.18912065,58899354,22456388,81355742,72.39729188,27.60270812
Indiana,East North Central,17967924,11509906,29477830,60.95402545,39.04597455,14862508,52659456,67521964,22.01136803,77.98863197,29170433,10046159,39216592,74.3828862,25.6171138
Kansas,West North Central,10135397,6851717,16987114,59.66520858,40.33479142,7946779,12816843,20763622,38.27260485,61.72739515,15062970,5728830,20791800,72.44668571,27.55331429
Kentucky,East South Central,12088648,7652700,19741348,61.23516996,38.76483004,9554084,25473493,35027577,27.27589179,72.72410821,16961027,7095476,24056503,70.5049566,29.4950434
Louisiana,West South Central,18134993,9992827,28127820,64.47351057,35.52648943,14106701,23742644,37849345,37.27066083,62.72933917,20984316,8816327,29800643,70.41564841,29.58435159
Massachusetts,New England,24094398,19988949,44083347,54.65646245,45.34353755,21208738,26370675,47579413,44.57545115,55.42454885,33648641,14770756,48419397,69.49413476,30.50586524
Maryland,South Atlantic,16971663,20146325,37117988,45.72355323,54.27644677,11751470,13835076,25586546,45.92831717,54.07168283,29002970,15306244,44309214,65.45584401,34.54415599
Maine,New England,4796064,3652506,8448570,56.7677607,43.2322393,4074088,6513062,10587150,38.48144213,61.51855787,6568090,2956742,9524832,68.95754172,31.04245828
Michigan,East North Central,28953701,19742844,48696545,59.45740298,40.54259702,23720823,42513647,66234470,35.81341105,64.18658895,42075669,16669623,58745292,71.62389967,28.37610033
Minnesota,West North Central,19697772,16577138,36274910,54.30136698,45.69863302,14857562,25527062,40384624,36.79014568,63.20985432,28883739,13326073,42209812,68.4289686,31.5710314
Missouri,West North Central,22119959,16055959,38175918,57.94217967,42.05782033,17397690,25733700,43131390,40.33649275,59.66350725,30986952,13481728,44468680,69.68264405,30.31735595
Northern Mariana Islands,Territory,29847,21950,51797,57.62302836,42.37697164,52068,15580,67648,76.96901608,23.03098392,24502,19650,44152,55.49465483,44.50534517
Mississippi,East South Central,9147651,3868635,13016286,70.27850341,29.72149659,6895048,19808950,26703998,25.82028354,74.17971646,11503439,3513067,15016506,76.60529686,23.39470314
Montana,Mountain,4077647,3160651,7238298,56.3343344,43.6656656,3143876,5928012,9071888,34.65514565,65.34485435,5508885,2646397,8155282,67.54990201,32.45009799
North Carolina,South Atlantic,30169968,22827996,52997964,56.92665477,43.07334523,25156148,38896016,64052164,39.2744701,60.7255299,46111853,18888127,64999980,70.94133414,29.05866586
North Dakota,West North Central,3002993,2117451,5120444,58.64712123,41.35287877,2470698,3835994,6306692,39.17581515,60.82418485,4092932,1857096,5950028,68.7884494,31.2115506
Nebraska,West North Central,6778502,6141654,12920156,52.46455229,47.53544771,5413204,9779508,15192712,35.63026799,64.36973201,9734568,4768346,14502914,67.12146262,32.87853738
New Hampshire,New England,5123308,4080378,9203686,55.6658278,44.3341722,3885620,4655628,8541248,45.49241516,54.50758484,7220094,2832074,10052168,71.82623689,28.17376311
New Jersey,Mid-Atlantic,28838788,23623502,52462290,54.97050929,45.02949071,22547710,25509068,48056778,46.91889664,53.08110336,39926502,17796502,57723004,69.16913402,30.83086598
New Mexico,Mountain,6885006,5036682,11921688,57.75193915,42.24806085,4769956,7705880,12475836,38.23355806,61.76644194,8746138,4252086,12998224,67.28717708,32.71282292
Nevada,Mountain,6798076,8090508,14888584,45.6596544,54.3403456,4216966,6096426,10313392,40.88825481,59.11174519,9919476,6043816,15963292,62.13928806,37.86071194
New York,Mid-Atlantic,66883064,44728032,111611096,59.92510279,40.07489721,51765982,50509394,102275376,50.614316,49.385684,79733636,36110404,115844040,68.82843174,31.17156826
Ohio,East North Central,33938900,18848506,52787406,64.29355517,35.70644483,26961674,50100450,77062124,34.9869334,65.0130666,45654902,16397758,62052660,73.5744479,26.4255521
Oklahoma,West South Central,11815892,7900596,19716488,59.92898938,40.07101062,9025540,20068608,29094148,31.02183986,68.97816014,16858396,6959468,23817864,70.78046965,29.21953035
Oregon,Pacific,14096434,16076638,30173072,46.71859067,53.28140933,8993346,13764424,22757770,39.5176944,60.4823056,21055882,12388088,33443970,62.95867985,37.04132015
Pennsylvania,Mid-Atlantic,34846244,24096226,58942470,59.11907662,40.88092338,28495866,44659058,73154924,38.9527655,61.0472345,50020102,19893388,69913490,71.54570885,28.45429115
Puerto Rico,Territory,13137554,5847262,18984816,69.20032304,30.79967696,11825306,11728456,23553762,50.20559348,49.79440652,12644096,5072992,17717088,71.36667154,28.63332846
Rhode Island,New England,4244024,4158274,8402298,50.51027707,49.48972293,2880502,3047928,5928430,48.58793981,51.41206019,5785676,2788754,8574430,67.47592551,32.52407449
South Carolina,South Atlantic,14239738,13011334,27251072,52.25386363,47.74613637,10797134,22010170,32807304,32.9107628,67.0892372,22078406,10576156,32654562,67.61201084,32.38798916
South Dakota,West North Central,3627639,2648885,6276524,57.79694302,42.20305698,2904618,4593678,7498296,38.73704106,61.26295894,4936560,2281064,7217624,68.39591533,31.60408467
Tennessee,East South Central,21060000,16236208,37296208,56.46686655,43.53313345,17142020,33076764,50218784,34.13467757,65.86532243,33124840,14016632,47141472,70.26687669,29.73312331
Texas,West South Central,83647770,74302362,157950132,52.95834131,47.04165869,60264914,120020996,180285910,33.42741205,66.57258795,131071002,58956906,190027908,68.97460661,31.02539339
Utah,Mountain,10473370,9994546,20467916,51.16969407,48.83030593,6746074,14126356,20872430,32.32050125,67.67949875,15841574,7759050,23600624,67.12353877,32.87646123
Virginia,South Atlantic,29044802,28020334,57065136,50.89763039,49.10236961,18850714,23887708,42738422,44.10718299,55.89281701,46110070,21451402,67561472,68.24906065,31.75093935
U.S. Virgin Islands,Territory,473604,229598,703202,67.3496378,32.6503622,443402,284398,727800,60.92360539,39.07639461,574474,145124,719598,79.83262877,20.16737123
Vermont,New England,3097896,2564498,5662394,54.71000428,45.28999572,2447164,3167606,5614770,43.58440328,56.41559672,4202886,1987566,6190452,67.89303915,32.10696085
Washington,Pacific,26022470,30901546,56924016,45.71439584,54.28560416,16239306,22721516,38960822,41.68111751,58.31888249,37938994,22782708,60721702,62.48012284,37.51987716
Wisconsin,East North Central,18999442,11873926,30873368,61.53990715,38.46009285,16032738,27885058,43917796,36.50624453,63.49375547,26822178,10393098,37215276,72.07303259,27.92696741
West Virginia,South Atlantic,5088554,2681298,7769852,65.49100292,34.50899708,3998026,9449756,13447782,29.73000306,70.26999694,6380926,2435194,8816120,72.3779395,27.6220605
Wyoming,Mountain,2551474,2142666,4694140,54.35445044,45.64554956,1875268,2558988,4434256,42.29047669,57.70952331,3436908,1691996,5128904,67.0105738,32.9894262
